Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m1, m2, T1, T2)
sym_mig_twoepoch	Round_4_Replicate_29	-693.77	1399.54	1089.27	318.57	0.5533,0.2731,2.7063,0.2704,0.0124,2.8159
sym_mig_twoepoch	Round_4_Replicate_30	-659.84	1331.68	838.2	172.7	0.7084,0.7439,5.6518,0.1395,0.0158,6.3034
sym_mig_twoepoch	Round_4_Replicate_31	-643.91	1299.82	801.07	200.94	0.9461,0.6978,5.2571,0.0897,0.0401,2.4605
sym_mig_twoepoch	Round_4_Replicate_32	-683.7	1379.4	850.34	181.02	0.6164,0.7901,3.8962,0.158,0.029,5.8543
sym_mig_twoepoch	Round_4_Replicate_33	-658.74	1329.48	861.73	194.38	0.6352,0.6244,1.5393,0.1547,0.0122,5.8526
sym_mig_twoepoch	Round_4_Replicate_34	-637.19	1286.38	766.85	246.69	0.6477,0.5832,1.8828,0.1375,0.0272,2.1574
sym_mig_twoepoch	Round_4_Replicate_35	-638.67	1289.34	811.32	234.28	0.7092,0.5409,4.1457,0.1416,0.0604,2.6445
sym_mig_twoepoch	Round_4_Replicate_36	-658.56	1329.12	906.69	187.89	0.7893,0.5513,1.4908,0.1622,0.0113,6.3404
sym_mig_twoepoch	Round_4_Replicate_37	-805.36	1622.72	1332.86	195.32	1.0503,0.4319,2.6364,0.2547,0.0365,6.1393
sym_mig_twoepoch	Round_4_Replicate_38	-638.54	1289.08	774.67	207.07	0.7798,0.7103,1.5084,0.1059,0.0276,2.6969
sym_mig_twoepoch	Round_4_Replicate_39	-667.75	1347.5	867.12	308.53	0.3824,0.3763,4.4689,0.2961,0.0125,5.2862
sym_mig_twoepoch	Round_4_Replicate_40	-708.11	1428.22	935.61	246.53	0.3929,0.5755,2.5884,0.2128,0.0112,4.8551
