Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_4_Replicate_21	-724.99	1463.98	1201.99	101.06	2.1614,3.7148,2.0506,0.8218,0.078,0.5136,8.824
sec_contact_sym_mig_size	Round_4_Replicate_22	-638.76	1291.52	791.02	99.29	1.4278,11.9093,1.6971,1.3184,0.0609,1.86,5.5713
sec_contact_sym_mig_size	Round_4_Replicate_23	-689.08	1392.16	884.38	86.95	1.1634,8.9901,1.2059,1.5645,0.0776,1.1268,15.231
sec_contact_sym_mig_size	Round_4_Replicate_24	-692.68	1399.36	865.97	76.58	2.1101,4.3309,2.0213,2.5772,0.0254,1.1738,5.803
sec_contact_sym_mig_size	Round_4_Replicate_25	-682.0	1378.0	1055.72	92.52	1.7714,6.9224,1.7245,0.9623,0.0771,1.0316,13.7884
sec_contact_sym_mig_size	Round_4_Replicate_26	-702.05	1418.1	1089.63	100.67	0.5778,4.3052,2.2691,1.0192,0.0442,0.5353,6.1077
sec_contact_sym_mig_size	Round_4_Replicate_27	-656.82	1327.64	847.66	130.19	1.046,9.5523,0.9705,0.9244,0.1093,0.7434,8.7359
sec_contact_sym_mig_size	Round_4_Replicate_28	-739.78	1493.56	1321.49	89.12	1.1957,10.7379,2.0705,0.827,0.0779,0.9472,14.527
sec_contact_sym_mig_size	Round_4_Replicate_29	-686.87	1387.74	885.29	78.07	0.8957,6.2806,1.3909,1.9252,0.0555,0.5695,12.5122
sec_contact_sym_mig_size	Round_4_Replicate_30	-680.05	1374.1	1060.05	77.15	1.1002,5.3325,2.2527,1.2221,0.0496,1.1834,12.0095
sec_contact_sym_mig_size	Round_4_Replicate_31	-666.68	1347.36	827.7	118.04	0.6829,6.8366,1.0231,1.2563,0.0825,1.6118,5.7401
sec_contact_sym_mig_size	Round_4_Replicate_32	-641.68	1297.36	769.72	54.69	1.521,9.1659,2.9094,2.5101,0.0368,0.7072,14.4605
sec_contact_sym_mig_size	Round_4_Replicate_33	-700.84	1415.68	888.38	78.22	0.718,8.4207,1.3392,1.9627,0.0645,0.8446,13.1157
sec_contact_sym_mig_size	Round_4_Replicate_34	-695.75	1405.5	899.18	71.72	0.6529,5.503,1.454,2.0927,0.0549,1.6802,13.5849
sec_contact_sym_mig_size	Round_4_Replicate_35	-684.95	1383.9	923.67	97.44	1.9902,8.2821,2.3957,1.1949,0.0523,1.4249,4.7034
sec_contact_sym_mig_size	Round_4_Replicate_36	-667.04	1348.08	784.25	64.2	1.3282,4.4667,2.0707,2.5286,0.044,0.5054,11.9515
sec_contact_sym_mig_size	Round_4_Replicate_37	-719.74	1453.48	1118.19	109.25	0.5446,10.687,2.1259,0.8499,0.0721,0.8933,5.7829
sec_contact_sym_mig_size	Round_4_Replicate_38	-745.04	1504.08	1267.24	81.2	1.0339,4.352,2.9417,1.0491,0.046,1.0703,8.2613
sec_contact_sym_mig_size	Round_4_Replicate_39	-638.38	1290.76	777.19	65.97	0.6201,3.1494,2.5556,2.1027,0.0375,1.4203,10.0146
sec_contact_sym_mig_size	Round_4_Replicate_40	-663.17	1340.34	970.94	79.55	2.1967,11.4873,2.2302,1.429,0.0372,1.4131,8.6399
