Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s, f)
vic_no_mig_admix_early	Round_2_Replicate_15	-2479.35	4970.7	8951028.87	502.93	0.3511,0.1083,8.5185,1.133,0.4864,0.2362
vic_no_mig_admix_early	Round_2_Replicate_16	-2083.25	4178.5	51858.33	969.15	0.1185,0.1287,2.9766,0.2176,0.4066,0.0668
vic_no_mig_admix_early	Round_2_Replicate_17	-1092.65	2197.3	5597.25	716.87	0.245,0.1112,5.7615,0.284,0.449,0.053
vic_no_mig_admix_early	Round_2_Replicate_18	-672.43	1356.86	1100.71	422.62	0.672,0.1272,1.2122,0.3918,0.4748,0.2107
vic_no_mig_admix_early	Round_2_Replicate_19	-770.54	1553.08	1466.61	497.37	0.4929,0.4832,4.4582,0.221,0.2816,0.0315
vic_no_mig_admix_early	Round_2_Replicate_20	-2225.01	4462.02	668160.43	630.13	0.3095,0.603,0.7424,0.5967,0.2433,0.2216
vic_no_mig_admix_early	Round_3_Replicate_1	-981.49	1974.98	3372.79	610.02	0.3317,0.0482,4.9513,0.2351,0.2641,0.0394
vic_no_mig_admix_early	Round_3_Replicate_2	-1140.17	2292.34	2808.39	473.19	0.4905,0.0743,16.2587,0.0956,0.182,0.0373
vic_no_mig_admix_early	Round_3_Replicate_3	-1307.48	2626.96	6602.99	418.03	0.5965,0.1528,4.0162,0.1237,0.4753,0.0965
vic_no_mig_admix_early	Round_3_Replicate_4	-1063.86	2139.72	3088.38	496.11	0.3184,0.1891,18.7356,0.0772,0.4684,0.0117
vic_no_mig_admix_early	Round_3_Replicate_5	-738.4	1488.8	1035.02	520.98	0.3437,0.0593,2.5079,0.1236,0.4786,0.0721
vic_no_mig_admix_early	Round_3_Replicate_6	-607.66	1227.32	833.56	659.04	0.1874,0.0761,7.7674,0.1005,0.4877,0.0108
vic_no_mig_admix_early	Round_3_Replicate_7	-952.89	1917.78	2128.15	515.09	0.2871,0.2602,2.4665,0.0773,0.4786,0.0126
vic_no_mig_admix_early	Round_3_Replicate_8	-1718.37	3448.74	33078.95	790.5	0.2005,0.1188,1.8252,0.345,0.4752,0.0575
vic_no_mig_admix_early	Round_3_Replicate_9	-1055.34	2122.68	2902.04	401.1	0.7072,0.1186,14.6547,0.1854,0.4753,0.053
